Fips,County,Topic,Year,Count,Crude Rate,State Count,State Crude Rate
55005,Barron,Emergency Department Visits,2017,109,24.11,20348,35.12
55005,Barron,Emergency Department Visits,2018,149,33.02,19635,33.8
55005,Barron,Emergency Department Visits,2019,112,24.76,18986,32.6
55005,Barron,Emergency Department Visits,2020,104,22.25,12504,21.21
55005,Barron,Emergency Department Visits,2021,115,24.62,14703,25.01
55005,Barron,Emergency Department Visits,2022,129,27.61,15224,25.84
55005,Barron,Emergency Department Visits,2023,111,23.7,16690,28.24
55007,Bayfield,Emergency Department Visits,2002,68,45.14,25844,47.45
55007,Bayfield,Emergency Department Visits,2003,75,49.82,27025,49.34
55007,Bayfield,Emergency Department Visits,2004,52,34.62,24992,45.35
55007,Bayfield,Emergency Department Visits,2005,43,28.7,25532,46.07
55007,Bayfield,Emergency Department Visits,2006,45,30.04,23791,42.7
55007,Bayfield,Emergency Department Visits,2007,67,44.6,24155,43.12
55007,Bayfield,Emergency Department Visits,2008,36,24.14,24359,43.28
55007,Bayfield,Emergency Department Visits,2009,47,31.78,25168,44.51
55007,Bayfield,Emergency Department Visits,2010,36,23.98,22228,39.07
55007,Bayfield,Emergency Department Visits,2011,26,17.21,19549,34.24
55007,Bayfield,Emergency Department Visits,2012,31,20.54,20315,35.49
55007,Bayfield,Emergency Department Visits,2013,21,13.88,18640,32.46
55007,Bayfield,Emergency Department Visits,2014,39,26.03,21382,37.14
55007,Bayfield,Emergency Department Visits,2015,44,29.37,23843,41.4
55007,Bayfield,Emergency Department Visits,2016,20,13.4,20621,35.71
55007,Bayfield,Emergency Department Visits,2017,29,19.32,20348,35.12
55007,Bayfield,Emergency Department Visits,2018,31,20.55,19635,33.8
55007,Bayfield,Emergency Department Visits,2019,26,17.14,18986,32.6
55007,Bayfield,Emergency Department Visits,2020,24,14.78,12504,21.21
55007,Bayfield,Emergency Department Visits,2021,29,17.77,14703,25.01
55007,Bayfield,Emergency Department Visits,2022,32,19.21,15224,25.84
55007,Bayfield,Emergency Department Visits,2023,49,29.22,16690,28.24
55009,Brown,Emergency Department Visits,2002,1022,44.04,25844,47.45
55009,Brown,Emergency Department Visits,2003,1103,47.13,27025,49.34
55009,Brown,Emergency Department Visits,2004,1102,46.52,24992,45.35
55009,Brown,Emergency Department Visits,2005,948,39.7,25532,46.07
55009,Brown,Emergency Department Visits,2006,1057,43.96,23791,42.7
55009,Brown,Emergency Department Visits,2007,958,39.4,24155,43.12
55009,Brown,Emergency Department Visits,2008,942,38.5,24359,43.28
55009,Brown,Emergency Department Visits,2009,1074,43.43,25168,44.51
55009,Brown,Emergency Department Visits,2010,1030,41.45,22228,39.07
55009,Brown,Emergency Department Visits,2011,1008,40.23,19549,34.24
55009,Brown,Emergency Department Visits,2012,1143,45.18,20315,35.49
55009,Brown,Emergency Department Visits,2013,894,35.09,18640,32.46
55009,Brown,Emergency Department Visits,2014,970,37.79,21382,37.14
55009,Brown,Emergency Department Visits,2015,975,37.81,23843,41.4
55009,Brown,Emergency Department Visits,2016,1004,38.68,20621,35.71
55009,Brown,Emergency Department Visits,2017,930,35.53,20348,35.12
55009,Brown,Emergency Department Visits,2018,904,34.37,19635,33.8
55009,Brown,Emergency Department Visits,2019,832,31.53,18986,32.6
55009,Brown,Emergency Department Visits,2020,584,21.71,12504,21.21
55009,Brown,Emergency Department Visits,2021,575,21.38,14703,25.01
55009,Brown,Emergency Department Visits,2022,709,26.25,15224,25.84
55009,Brown,Emergency Department Visits,2023,624,22.99,16690,28.24
55011,Buffalo,Emergency Department Visits,2002,24,17.46,25844,47.45
55011,Buffalo,Emergency Department Visits,2003,24,17.45,27025,49.34
55011,Buffalo,Emergency Department Visits,2004,25,18.23,24992,45.35
55011,Buffalo,Emergency Department Visits,2005,21,15.14,25532,46.07
55011,Buffalo,Emergency Department Visits,2006,35,25.39,23791,42.7
55011,Buffalo,Emergency Department Visits,2007,34,24.74,24155,43.12
55011,Buffalo,Emergency Department Visits,2008,31,22.81,24359,43.28
55011,Buffalo,Emergency Department Visits,2009,30,22.35,25168,44.51
55011,Buffalo,Emergency Department Visits,2010,39,28.79,22228,39.07
55011,Buffalo,Emergency Department Visits,2011,43,31.92,19549,34.24
55011,Buffalo,Emergency Department Visits,2012,31,23.25,20315,35.49
55011,Buffalo,Emergency Department Visits,2013,27,20.26,18640,32.46
55011,Buffalo,Emergency Department Visits,2014,25,18.96,21382,37.14
55011,Buffalo,Emergency Department Visits,2015,20,15.08,23843,41.4
55011,Buffalo,Emergency Department Visits,2016,17,12.93,20621,35.71
55011,Buffalo,Emergency Department Visits,2017,23,17.54,20348,35.12
55011,Buffalo,Emergency Department Visits,2018,17,12.95,19635,33.8
55011,Buffalo,Emergency Department Visits,2019,25,19.21,18986,32.6
55011,Buffalo,Emergency Department Visits,2020,13,9.77,12504,21.21
55011,Buffalo,Emergency Department Visits,2021,15,11.26,14703,25.01
55011,Buffalo,Emergency Department Visits,2022,11,8.22,15224,25.84
55011,Buffalo,Emergency Department Visits,2023,10,7.45,16690,28.24
55013,Burnett,Emergency Department Visits,2002,61,38.15,25844,47.45
55013,Burnett,Emergency Department Visits,2003,68,42.06,27025,49.34
55013,Burnett,Emergency Department Visits,2004,53,32.5,24992,45.35
55013,Burnett,Emergency Department Visits,2005,52,31.91,25532,46.07
55013,Burnett,Emergency Department Visits,2006,41,25.26,23791,42.7
55013,Burnett,Emergency Department Visits,2007,64,39.55,24155,43.12
55013,Burnett,Emergency Department Visits,2008,61,38.21,24359,43.28
55013,Burnett,Emergency Department Visits,2009,42,26.44,25168,44.51
55013,Burnett,Emergency Department Visits,2010,44,28.52,22228,39.07
55013,Burnett,Emergency Department Visits,2011,41,26.44,19549,34.24
55013,Burnett,Emergency Department Visits,2012,40,26.05,20315,35.49
55013,Burnett,Emergency Department Visits,2013,42,27.42,18640,32.46
55013,Burnett,Emergency Department Visits,2014,33,21.53,21382,37.14
55013,Burnett,Emergency Department Visits,2015,35,23.13,23843,41.4
55013,Burnett,Emergency Department Visits,2016,33,21.66,20621,35.71
55013,Burnett,Emergency Department Visits,2017,48,31.38,20348,35.12
55013,Burnett,Emergency Department Visits,2018,30,19.56,19635,33.8
55013,Burnett,Emergency Department Visits,2019,30,19.49,18986,32.6
55013,Burnett,Emergency Department Visits,2020,28,16.89,12504,21.21
55013,Burnett,Emergency Department Visits,2021,38,22.68,14703,25.01
55013,Burnett,Emergency Department Visits,2022,33,19.43,15224,25.84
55013,Burnett,Emergency Department Visits,2023,42,24.57,16690,28.24
55015,Calumet,Emergency Department Visits,2002,121,28.44,25844,47.45
55015,Calumet,Emergency Department Visits,2003,85,19.6,27025,49.34
55015,Calumet,Emergency Department Visits,2004,53,12.11,24992,45.35
55015,Calumet,Emergency Department Visits,2005,62,14.07,25532,46.07
55015,Calumet,Emergency Department Visits,2006,48,10.84,23791,42.7
55015,Calumet,Emergency Department Visits,2007,53,11.97,24155,43.12
55015,Calumet,Emergency Department Visits,2008,42,9.4,24359,43.28
55015,Calumet,Emergency Department Visits,2009,56,12.52,25168,44.51
55015,Calumet,Emergency Department Visits,2010,60,12.25,22228,39.07
55015,Calumet,Emergency Department Visits,2011,50,10.06,19549,34.24
55015,Calumet,Emergency Department Visits,2012,62,12.47,20315,35.49
55015,Calumet,Emergency Department Visits,2013,57,11.48,18640,32.46
55015,Calumet,Emergency Department Visits,2014,83,16.77,21382,37.14
55015,Calumet,Emergency Department Visits,2015,93,18.66,23843,41.4
55015,Calumet,Emergency Department Visits,2016,82,16.53,20621,35.71
55015,Calumet,Emergency Department Visits,2017,79,15.8,20348,35.12
55015,Calumet,Emergency Department Visits,2018,101,20.16,19635,33.8
55015,Calumet,Emergency Department Visits,2019,93,18.56,18986,32.6
55015,Calumet,Emergency Department Visits,2020,57,10.86,12504,21.21
55015,Calumet,Emergency Department Visits,2021,70,13.31,14703,25.01
55015,Calumet,Emergency Department Visits,2022,71,13.47,15224,25.84
55015,Calumet,Emergency Department Visits,2023,87,16.35,16690,28.24
55017,Chippewa,Emergency Department Visits,2002,211,37.62,25844,47.45
55017,Chippewa,Emergency Department Visits,2003,221,38.95,27025,49.34
55017,Chippewa,Emergency Department Visits,2004,226,38.75,24992,45.35
55017,Chippewa,Emergency Department Visits,2005,214,36.19,25532,46.07
55017,Chippewa,Emergency Department Visits,2006,186,31.33,23791,42.7
55017,Chippewa,Emergency Department Visits,2007,157,26.18,24155,43.12
55017,Chippewa,Emergency Department Visits,2008,205,34,24359,43.28
55017,Chippewa,Emergency Department Visits,2009,172,28.38,25168,44.51
55017,Chippewa,Emergency Department Visits,2010,162,25.87,22228,39.07
55017,Chippewa,Emergency Department Visits,2011,104,16.53,19549,34.24
55017,Chippewa,Emergency Department Visits,2012,85,13.48,20315,35.49
55017,Chippewa,Emergency Department Visits,2013,79,12.5,18640,32.46
55017,Chippewa,Emergency Department Visits,2014,93,14.65,21382,37.14
55017,Chippewa,Emergency Department Visits,2015,132,20.81,23843,41.4
55017,Chippewa,Emergency Department Visits,2016,109,17.14,20621,35.71
55017,Chippewa,Emergency Department Visits,2017,156,24.46,20348,35.12
55017,Chippewa,Emergency Department Visits,2018,185,28.86,19635,33.8
55017,Chippewa,Emergency Department Visits,2019,157,24.27,18986,32.6
55017,Chippewa,Emergency Department Visits,2020,130,19.6,12504,21.21
55017,Chippewa,Emergency Department Visits,2021,147,22.08,14703,25.01
55017,Chippewa,Emergency Department Visits,2022,144,21.57,15224,25.84
55017,Chippewa,Emergency Department Visits,2023,132,19.71,16690,28.24
55019,Clark,Emergency Department Visits,2002,83,24.73,25844,47.45
55019,Clark,Emergency Department Visits,2003,65,19.33,27025,49.34
55019,Clark,Emergency Department Visits,2004,77,22.88,24992,45.35
55019,Clark,Emergency Department Visits,2005,80,23.81,25532,46.07
55019,Clark,Emergency Department Visits,2006,72,21.48,23791,42.7
55019,Clark,Emergency Department Visits,2007,73,21.84,24155,43.12
55019,Clark,Emergency Department Visits,2008,84,25.08,24359,43.28
55019,Clark,Emergency Department Visits,2009,71,21.24,25168,44.51
55019,Clark,Emergency Department Visits,2010,78,22.49,22228,39.07
55019,Clark,Emergency Department Visits,2011,90,25.91,19549,34.24
55019,Clark,Emergency Department Visits,2012,73,21.18,20315,35.49
55019,Clark,Emergency Department Visits,2013,62,17.94,18640,32.46
55019,Clark,Emergency Department Visits,2014,58,16.85,21382,37.14
55019,Clark,Emergency Department Visits,2015,69,20.06,23843,41.4
55019,Clark,Emergency Department Visits,2016,63,18.25,20621,35.71
55019,Clark,Emergency Department Visits,2017,51,14.74,20348,35.12
55019,Clark,Emergency Department Visits,2018,59,16.98,19635,33.8
55019,Clark,Emergency Department Visits,2019,42,12.07,18986,32.6
55019,Clark,Emergency Department Visits,2020,47,13.56,12504,21.21
55019,Clark,Emergency Department Visits,2021,61,17.55,14703,25.01
55019,Clark,Emergency Department Visits,2022,61,17.56,15224,25.84
55019,Clark,Emergency Department Visits,2023,54,15.53,16690,28.24
55021,Columbia,Emergency Department Visits,2002,211,39.71,25844,47.45
55021,Columbia,Emergency Department Visits,2003,225,41.95,27025,49.34
55021,Columbia,Emergency Department Visits,2004,217,39.93,24992,45.35
55021,Columbia,Emergency Department Visits,2005,205,37.58,25532,46.07
55021,Columbia,Emergency Department Visits,2006,164,29.91,23791,42.7
55021,Columbia,Emergency Department Visits,2007,174,31.6,24155,43.12
55021,Columbia,Emergency Department Visits,2008,181,32.83,24359,43.28
55021,Columbia,Emergency Department Visits,2009,161,29.18,25168,44.51
55021,Columbia,Emergency Department Visits,2010,143,25.14,22228,39.07
55021,Columbia,Emergency Department Visits,2011,141,24.86,19549,34.24
55021,Columbia,Emergency Department Visits,2012,209,37.02,20315,35.49
55021,Columbia,Emergency Department Visits,2013,157,27.73,18640,32.46
55021,Columbia,Emergency Department Visits,2014,207,36.56,21382,37.14
55021,Columbia,Emergency Department Visits,2015,215,37.96,23843,41.4
55021,Columbia,Emergency Department Visits,2016,158,27.76,20621,35.71
55021,Columbia,Emergency Department Visits,2017,205,35.8,20348,35.12
55021,Columbia,Emergency Department Visits,2018,142,24.79,19635,33.8
55021,Columbia,Emergency Department Visits,2019,160,27.81,18986,32.6
55021,Columbia,Emergency Department Visits,2020,80,13.67,12504,21.21
55021,Columbia,Emergency Department Visits,2021,99,16.94,14703,25.01
55021,Columbia,Emergency Department Visits,2022,108,18.55,15224,25.84
55021,Columbia,Emergency Department Visits,2023,119,20.49,16690,28.24
55023,Crawford,Emergency Department Visits,2002,37,21.79,25844,47.45
55023,Crawford,Emergency Department Visits,2003,47,27.87,27025,49.34
55023,Crawford,Emergency Department Visits,2004,24,14.14,24992,45.35
55023,Crawford,Emergency Department Visits,2005,48,28.45,25532,46.07
55023,Crawford,Emergency Department Visits,2006,53,31.3,23791,42.7
55023,Crawford,Emergency Department Visits,2007,60,35.51,24155,43.12
55023,Crawford,Emergency Department Visits,2008,46,27.39,24359,43.28
55023,Crawford,Emergency Department Visits,2009,52,31.08,25168,44.51
55023,Crawford,Emergency Department Visits,2010,42,25.28,22228,39.07
55023,Crawford,Emergency Department Visits,2011,37,22.2,19549,34.24
55023,Crawford,Emergency Department Visits,2012,30,18.15,20315,35.49
55023,Crawford,Emergency Department Visits,2013,27,16.44,18640,32.46
55023,Crawford,Emergency Department Visits,2014,30,18.3,21382,37.14
55023,Crawford,Emergency Department Visits,2015,54,33.07,23843,41.4
55023,Crawford,Emergency Department Visits,2016,41,25.24,20621,35.71
55023,Crawford,Emergency Department Visits,2017,40,24.72,20348,35.12
55023,Crawford,Emergency Department Visits,2018,31,19.12,19635,33.8
55023,Crawford,Emergency Department Visits,2019,27,16.75,18986,32.6
55023,Crawford,Emergency Department Visits,2020,25,15.54,12504,21.21
55023,Crawford,Emergency Department Visits,2021,24,14.91,14703,25.01
55023,Crawford,Emergency Department Visits,2022,26,16.23,15224,25.84
55023,Crawford,Emergency Department Visits,2023,30,18.82,16690,28.24
55025,Dane,Emergency Department Visits,2002,1252,28.23,25844,47.45
55025,Dane,Emergency Department Visits,2003,1291,28.71,27025,49.34
55025,Dane,Emergency Department Visits,2004,1182,25.92,24992,45.35
55025,Dane,Emergency Department Visits,2005,1161,25.12,25532,46.07
55025,Dane,Emergency Department Visits,2006,998,21.29,23791,42.7
55025,Dane,Emergency Department Visits,2007,1158,24.31,24155,43.12
55025,Dane,Emergency Department Visits,2008,1197,24.77,24359,43.28
55025,Dane,Emergency Department Visits,2009,1198,24.38,25168,44.51
55025,Dane,Emergency Department Visits,2010,1104,22.58,22228,39.07
55025,Dane,Emergency Department Visits,2011,937,18.88,19549,34.24
55025,Dane,Emergency Department Visits,2012,977,19.41,20315,35.49
55025,Dane,Emergency Department Visits,2013,909,17.82,18640,32.46
55025,Dane,Emergency Department Visits,2014,1090,21.11,21382,37.14
55025,Dane,Emergency Department Visits,2015,1280,24.52,23843,41.4
55025,Dane,Emergency Department Visits,2016,1174,22.08,20621,35.71
55025,Dane,Emergency Department Visits,2017,1184,22.01,20348,35.12
55025,Dane,Emergency Department Visits,2018,1094,20.17,19635,33.8
55025,Dane,Emergency Department Visits,2019,1096,20.01,18986,32.6
55025,Dane,Emergency Department Visits,2020,675,12,12504,21.21
55025,Dane,Emergency Department Visits,2021,831,14.8,14703,25.01
55025,Dane,Emergency Department Visits,2022,976,17.19,15224,25.84
55025,Dane,Emergency Department Visits,2023,1147,19.94,16690,28.24
55027,Dodge,Emergency Department Visits,2002,341,39.36,25844,47.45
55027,Dodge,Emergency Department Visits,2003,353,40.63,27025,49.34
55027,Dodge,Emergency Department Visits,2004,339,38.8,24992,45.35
55027,Dodge,Emergency Department Visits,2005,299,34.28,25532,46.07
55027,Dodge,Emergency Department Visits,2006,350,39.84,23791,42.7
55027,Dodge,Emergency Department Visits,2007,310,35.33,24155,43.12
55027,Dodge,Emergency Department Visits,2008,339,38.59,24359,43.28
55027,Dodge,Emergency Department Visits,2009,330,37.79,25168,44.51
55027,Dodge,Emergency Department Visits,2010,321,36.21,22228,39.07
55027,Dodge,Emergency Department Visits,2011,339,38.2,19549,34.24
55027,Dodge,Emergency Department Visits,2012,304,34.32,20315,35.49
55027,Dodge,Emergency Department Visits,2013,287,32.47,18640,32.46
55027,Dodge,Emergency Department Visits,2014,302,34.1,21382,37.14
55027,Dodge,Emergency Department Visits,2015,378,43.02,23843,41.4
55027,Dodge,Emergency Department Visits,2016,328,37.54,20621,35.71
55027,Dodge,Emergency Department Visits,2017,262,29.87,20348,35.12
55027,Dodge,Emergency Department Visits,2018,237,26.99,19635,33.8
55027,Dodge,Emergency Department Visits,2019,235,26.82,18986,32.6
55027,Dodge,Emergency Department Visits,2020,161,18.02,12504,21.21
55027,Dodge,Emergency Department Visits,2021,179,20.18,14703,25.01
55027,Dodge,Emergency Department Visits,2022,163,18.44,15224,25.84
55027,Dodge,Emergency Department Visits,2023,205,23.23,16690,28.24
55029,Door,Emergency Department Visits,2002,57,20.2,25844,47.45
55029,Door,Emergency Department Visits,2003,66,23.37,27025,49.34
55029,Door,Emergency Department Visits,2004,71,25.25,24992,45.35
55029,Door,Emergency Department Visits,2005,89,31.76,25532,46.07
55029,Door,Emergency Department Visits,2006,67,23.91,23791,42.7
55029,Door,Emergency Department Visits,2007,80,28.79,24155,43.12
55029,Door,Emergency Department Visits,2008,51,18.31,24359,43.28
55029,Door,Emergency Department Visits,2009,74,26.6,25168,44.51
55029,Door,Emergency Department Visits,2010,62,22.37,22228,39.07
55029,Door,Emergency Department Visits,2011,50,17.93,19549,34.24
55029,Door,Emergency Department Visits,2012,77,27.79,20315,35.49
55029,Door,Emergency Department Visits,2013,76,27.27,18640,32.46
55029,Door,Emergency Department Visits,2014,73,26.29,21382,37.14
55029,Door,Emergency Department Visits,2015,53,19.41,23843,41.4
55029,Door,Emergency Department Visits,2016,57,20.84,20621,35.71
55029,Door,Emergency Department Visits,2017,54,19.66,20348,35.12
55029,Door,Emergency Department Visits,2018,58,20.99,19635,33.8
55029,Door,Emergency Department Visits,2019,44,15.85,18986,32.6
55029,Door,Emergency Department Visits,2020,45,14.94,12504,21.21
55029,Door,Emergency Department Visits,2021,57,18.73,14703,25.01
55029,Door,Emergency Department Visits,2022,46,15.06,15224,25.84
55029,Door,Emergency Department Visits,2023,55,18,16690,28.24
55031,Douglas,Emergency Department Visits,2002,158,36.21,25844,47.45
55031,Douglas,Emergency Department Visits,2003,150,34.23,27025,49.34
55031,Douglas,Emergency Department Visits,2004,242,55.15,24992,45.35
55031,Douglas,Emergency Department Visits,2005,284,64.68,25532,46.07
55031,Douglas,Emergency Department Visits,2006,262,59.72,23791,42.7
55031,Douglas,Emergency Department Visits,2007,305,69.67,24155,43.12
55031,Douglas,Emergency Department Visits,2008,229,52.12,24359,43.28
55031,Douglas,Emergency Department Visits,2009,223,50.37,25168,44.51
55031,Douglas,Emergency Department Visits,2010,193,43.68,22228,39.07
55031,Douglas,Emergency Department Visits,2011,186,42.26,19549,34.24
55031,Douglas,Emergency Department Visits,2012,184,41.99,20315,35.49
55031,Douglas,Emergency Department Visits,2013,145,33.11,18640,32.46
55031,Douglas,Emergency Department Visits,2014,166,37.99,21382,37.14
55031,Douglas,Emergency Department Visits,2015,150,34.5,23843,41.4
55031,Douglas,Emergency Department Visits,2016,132,30.37,20621,35.71
55031,Douglas,Emergency Department Visits,2017,128,29.46,20348,35.12
55031,Douglas,Emergency Department Visits,2018,170,39.21,19635,33.8
55031,Douglas,Emergency Department Visits,2019,123,28.27,18986,32.6
55031,Douglas,Emergency Department Visits,2020,96,21.65,12504,21.21
55031,Douglas,Emergency Department Visits,2021,81,18.39,14703,25.01
55031,Douglas,Emergency Department Visits,2022,99,22.39,15224,25.84
55031,Douglas,Emergency Department Visits,2023,115,25.98,16690,28.24
55033,Dunn,Emergency Department Visits,2002,122,29.91,25844,47.45
55033,Dunn,Emergency Department Visits,2003,117,28.57,27025,49.34
55033,Dunn,Emergency Department Visits,2004,112,27.1,24992,45.35
55033,Dunn,Emergency Department Visits,2005,137,32.98,25532,46.07
55033,Dunn,Emergency Department Visits,2006,134,31.68,23791,42.7
55033,Dunn,Emergency Department Visits,2007,152,35.72,24155,43.12
55033,Dunn,Emergency Department Visits,2008,144,33.71,24359,43.28
55033,Dunn,Emergency Department Visits,2009,125,29.09,25168,44.51
55033,Dunn,Emergency Department Visits,2010,118,26.89,22228,39.07
55033,Dunn,Emergency Department Visits,2011,73,16.63,19549,34.24
55033,Dunn,Emergency Department Visits,2012,87,19.8,20315,35.49
55033,Dunn,Emergency Department Visits,2013,85,19.22,18640,32.46
55033,Dunn,Emergency Department Visits,2014,97,21.89,21382,37.14
55033,Dunn,Emergency Department Visits,2015,81,18.32,23843,41.4
55033,Dunn,Emergency Department Visits,2016,65,14.64,20621,35.71
55033,Dunn,Emergency Department Visits,2017,80,17.86,20348,35.12
55033,Dunn,Emergency Department Visits,2018,103,22.82,19635,33.8
55033,Dunn,Emergency Department Visits,2019,135,29.75,18986,32.6
55033,Dunn,Emergency Department Visits,2020,79,17.39,12504,21.21
55033,Dunn,Emergency Department Visits,2021,83,18.64,14703,25.01
55033,Dunn,Emergency Department Visits,2022,80,17.54,15224,25.84
55033,Dunn,Emergency Department Visits,2023,75,16.38,16690,28.24
55035,Eau Claire,Emergency Department Visits,2002,328,34.61,25844,47.45
55035,Eau Claire,Emergency Department Visits,2003,323,34.02,27025,49.34
55035,Eau Claire,Emergency Department Visits,2004,231,24.3,24992,45.35
55035,Eau Claire,Emergency Department Visits,2005,294,30.77,25532,46.07
55035,Eau Claire,Emergency Department Visits,2006,298,30.87,23791,42.7
55035,Eau Claire,Emergency Department Visits,2007,295,30.28,24155,43.12
55035,Eau Claire,Emergency Department Visits,2008,314,31.97,24359,43.28
55035,Eau Claire,Emergency Department Visits,2009,304,30.58,25168,44.51
55035,Eau Claire,Emergency Department Visits,2010,238,24.04,22228,39.07
55035,Eau Claire,Emergency Department Visits,2011,234,23.42,19549,34.24
55035,Eau Claire,Emergency Department Visits,2012,212,21.02,20315,35.49
55035,Eau Claire,Emergency Department Visits,2013,205,20.16,18640,32.46
55035,Eau Claire,Emergency Department Visits,2014,247,24.32,21382,37.14
55035,Eau Claire,Emergency Department Visits,2015,269,26.36,23843,41.4
55035,Eau Claire,Emergency Department Visits,2016,242,23.5,20621,35.71
55035,Eau Claire,Emergency Department Visits,2017,249,24.02,20348,35.12
55035,Eau Claire,Emergency Department Visits,2018,325,31.17,19635,33.8
55035,Eau Claire,Emergency Department Visits,2019,257,24.6,18986,32.6
55035,Eau Claire,Emergency Department Visits,2020,182,17.19,12504,21.21
55035,Eau Claire,Emergency Department Visits,2021,203,19.15,14703,25.01
55035,Eau Claire,Emergency Department Visits,2022,215,20.13,15224,25.84
55035,Eau Claire,Emergency Department Visits,2023,210,19.46,16690,28.24
55037,Florence,Emergency Department Visits,2002,-5,-5,25844,47.45
55037,Florence,Emergency Department Visits,2003,-5,-5,27025,49.34
55037,Florence,Emergency Department Visits,2004,0,0,24992,45.35
55037,Florence,Emergency Department Visits,2005,0,0,25532,46.07
55037,Florence,Emergency Department Visits,2006,-5,-5,23791,42.7
55037,Florence,Emergency Department Visits,2007,0,0,24155,43.12
55037,Florence,Emergency Department Visits,2008,0,0,24359,43.28
55037,Florence,Emergency Department Visits,2009,-5,-5,25168,44.51
55037,Florence,Emergency Department Visits,2010,0,0,22228,39.07
55037,Florence,Emergency Department Visits,2011,-5,-5,19549,34.24
55037,Florence,Emergency Department Visits,2012,0,0,20315,35.49
55037,Florence,Emergency Department Visits,2013,0,0,18640,32.46
55037,Florence,Emergency Department Visits,2014,0,0,21382,37.14
55037,Florence,Emergency Department Visits,2015,0,0,23843,41.4
55037,Florence,Emergency Department Visits,2016,0,0,20621,35.71
