FIPS,COUNTY,TOPIC,YEAR,COUNT,CRUDERATE,ST_COUNT,ST_CRUDERATE
55023,Crawford,Emergency Department Visits,2014,65,55.72,21484,55.3
55023,Crawford,Emergency Department Visits,2015,103,88.17,23367,59.88
55023,Crawford,Emergency Department Visits,2016,112,96.12,26449,67.4
55023,Crawford,Emergency Department Visits,2017,126,108.07,29448,74.49
55023,Crawford,Emergency Department Visits,2018,116,98.9,26936,67.65
55023,Crawford,Emergency Department Visits,2019,91,77.65,26987,67.31
55023,Crawford,Emergency Department Visits,2020,50,42.8,17203,42.44
55023,Crawford,Emergency Department Visits,2021,63,53.8,17867,43.95
55023,Crawford,Emergency Department Visits,2022,69,58.85,19464,47.69
55025,Dane,Emergency Department Visits,2002,780,28.12,16086,45.51
55025,Dane,Emergency Department Visits,2003,747,26.55,16118,45.23
55025,Dane,Emergency Department Visits,2004,802,28.08,15446,42.95
55025,Dane,Emergency Department Visits,2005,780,26.87,17393,47.9
55025,Dane,Emergency Department Visits,2006,723,24.45,16394,44.74
55025,Dane,Emergency Department Visits,2007,725,24.01,17891,48.31
55025,Dane,Emergency Department Visits,2008,900,29.19,20578,55.03
55025,Dane,Emergency Department Visits,2009,862,27.39,19761,52.37
55025,Dane,Emergency Department Visits,2010,873,27.32,20144,52.96
55025,Dane,Emergency Department Visits,2011,1087,33.58,21217,55.46
55025,Dane,Emergency Department Visits,2012,926,28.24,20725,53.9
55025,Dane,Emergency Department Visits,2013,938,28.25,20150,52.13
55025,Dane,Emergency Department Visits,2014,972,28.9,21484,55.3
55025,Dane,Emergency Department Visits,2015,1112,32.61,23367,59.88
55025,Dane,Emergency Department Visits,2016,1240,35.73,26449,67.4
55025,Dane,Emergency Department Visits,2017,1261,35.71,29448,74.49
55025,Dane,Emergency Department Visits,2018,1047,29.15,26936,67.65
55025,Dane,Emergency Department Visits,2019,1124,30.86,26987,67.31
55025,Dane,Emergency Department Visits,2020,701,18.83,17203,42.44
55025,Dane,Emergency Department Visits,2021,769,20.53,17867,43.95
55025,Dane,Emergency Department Visits,2022,795,21.04,19464,47.69
55027,Dodge,Emergency Department Visits,2002,251,42.87,16086,45.51
55027,Dodge,Emergency Department Visits,2003,304,51.45,16118,45.23
55027,Dodge,Emergency Department Visits,2004,386,64.66,15446,42.95
55027,Dodge,Emergency Department Visits,2005,364,60.49,17393,47.9
55027,Dodge,Emergency Department Visits,2006,240,39.4,16394,44.74
55027,Dodge,Emergency Department Visits,2007,229,37.22,17891,48.31
55027,Dodge,Emergency Department Visits,2008,389,62.77,20578,55.03
55027,Dodge,Emergency Department Visits,2009,398,64.22,19761,52.37
55027,Dodge,Emergency Department Visits,2010,371,59.49,20144,52.96
55027,Dodge,Emergency Department Visits,2011,400,64.16,21217,55.46
55027,Dodge,Emergency Department Visits,2012,385,61.62,20725,53.9
55027,Dodge,Emergency Department Visits,2013,391,62.6,20150,52.13
55027,Dodge,Emergency Department Visits,2014,430,68.71,21484,55.3
55027,Dodge,Emergency Department Visits,2015,477,76.18,23367,59.88
55027,Dodge,Emergency Department Visits,2016,587,93.66,26449,67.4
55027,Dodge,Emergency Department Visits,2017,505,80.01,29448,74.49
55027,Dodge,Emergency Department Visits,2018,478,75.22,26936,67.65
55027,Dodge,Emergency Department Visits,2019,500,78.52,26987,67.31
55027,Dodge,Emergency Department Visits,2020,348,53.7,17203,42.44
55027,Dodge,Emergency Department Visits,2021,277,43.02,17867,43.95
55027,Dodge,Emergency Department Visits,2022,367,56.97,19464,47.69
55029,Door,Emergency Department Visits,2002,111,54.14,16086,45.51
55029,Door,Emergency Department Visits,2003,120,58.19,16118,45.23
55029,Door,Emergency Department Visits,2004,125,60.63,15446,42.95
55029,Door,Emergency Department Visits,2005,149,71.98,17393,47.9
55029,Door,Emergency Department Visits,2006,94,45.09,16394,44.74
55029,Door,Emergency Department Visits,2007,118,56.45,17891,48.31
55029,Door,Emergency Department Visits,2008,124,58.9,20578,55.03
55029,Door,Emergency Department Visits,2009,98,46.46,19761,52.37
55029,Door,Emergency Department Visits,2010,101,47.79,20144,52.96
55029,Door,Emergency Department Visits,2011,88,41.58,21217,55.46
55029,Door,Emergency Department Visits,2012,100,47.48,20725,53.9
55029,Door,Emergency Department Visits,2013,101,47.8,20150,52.13
55029,Door,Emergency Department Visits,2014,106,50.25,21484,55.3
55029,Door,Emergency Department Visits,2015,122,57.97,23367,59.88
55029,Door,Emergency Department Visits,2016,101,47.82,26449,67.4
55029,Door,Emergency Department Visits,2017,101,47.49,29448,74.49
55029,Door,Emergency Department Visits,2018,99,46.03,26936,67.65
55029,Door,Emergency Department Visits,2019,112,51.63,26987,67.31
55029,Door,Emergency Department Visits,2020,73,31.1,17203,42.44
55029,Door,Emergency Department Visits,2021,113,47.53,17867,43.95
55029,Door,Emergency Department Visits,2022,99,41.26,19464,47.69
55031,Douglas,Emergency Department Visits,2002,161,55.64,16086,45.51
55031,Douglas,Emergency Department Visits,2003,192,65.95,16118,45.23
55031,Douglas,Emergency Department Visits,2004,166,56.7,15446,42.95
55031,Douglas,Emergency Department Visits,2005,174,59.11,17393,47.9
55031,Douglas,Emergency Department Visits,2006,174,58.78,16394,44.74
55031,Douglas,Emergency Department Visits,2007,177,59.76,17891,48.31
55031,Douglas,Emergency Department Visits,2008,358,120.22,20578,55.03
55031,Douglas,Emergency Department Visits,2009,342,114.43,19761,52.37
55031,Douglas,Emergency Department Visits,2010,324,107.48,20144,52.96
55031,Douglas,Emergency Department Visits,2011,312,103.31,21217,55.46
55031,Douglas,Emergency Department Visits,2012,322,106.34,20725,53.9
55031,Douglas,Emergency Department Visits,2013,327,107.09,20150,52.13
55031,Douglas,Emergency Department Visits,2014,356,116.07,21484,55.3
55031,Douglas,Emergency Department Visits,2015,409,133.03,23367,59.88
55031,Douglas,Emergency Department Visits,2016,352,113.97,26449,67.4
55031,Douglas,Emergency Department Visits,2017,377,121.92,29448,74.49
55031,Douglas,Emergency Department Visits,2018,355,114.45,26936,67.65
55031,Douglas,Emergency Department Visits,2019,287,91.71,26987,67.31
55031,Douglas,Emergency Department Visits,2020,191,59.9,17203,42.44
55031,Douglas,Emergency Department Visits,2021,188,58.9,17867,43.95
55031,Douglas,Emergency Department Visits,2022,210,65.47,19464,47.69
55033,Dunn,Emergency Department Visits,2002,111,47.71,16086,45.51
55033,Dunn,Emergency Department Visits,2003,97,41.36,16118,45.23
55033,Dunn,Emergency Department Visits,2004,95,39.79,15446,42.95
55033,Dunn,Emergency Department Visits,2005,122,50.32,17393,47.9
55033,Dunn,Emergency Department Visits,2006,126,50.74,16394,44.74
55033,Dunn,Emergency Department Visits,2007,126,49.92,17891,48.31
55033,Dunn,Emergency Department Visits,2008,191,74.52,20578,55.03
55033,Dunn,Emergency Department Visits,2009,156,60.07,19761,52.37
55033,Dunn,Emergency Department Visits,2010,162,61.81,20144,52.96
55033,Dunn,Emergency Department Visits,2011,174,66.1,21217,55.46
55033,Dunn,Emergency Department Visits,2012,178,67.25,20725,53.9
55033,Dunn,Emergency Department Visits,2013,156,58.58,20150,52.13
55033,Dunn,Emergency Department Visits,2014,208,77.53,21484,55.3
55033,Dunn,Emergency Department Visits,2015,223,82.68,23367,59.88
55033,Dunn,Emergency Department Visits,2016,203,74.89,26449,67.4
55033,Dunn,Emergency Department Visits,2017,249,90.53,29448,74.49
55033,Dunn,Emergency Department Visits,2018,265,95.24,26936,67.65
55033,Dunn,Emergency Department Visits,2019,243,86.42,26987,67.31
55033,Dunn,Emergency Department Visits,2020,174,61.89,17203,42.44
55033,Dunn,Emergency Department Visits,2021,177,62.52,17867,43.95
55033,Dunn,Emergency Department Visits,2022,222,77.37,19464,47.69
55035,Eau Claire,Emergency Department Visits,2002,279,50.2,16086,45.51
55035,Eau Claire,Emergency Department Visits,2003,258,46.38,16118,45.23
55035,Eau Claire,Emergency Department Visits,2004,224,40.08,15446,42.95
55035,Eau Claire,Emergency Department Visits,2005,339,60.28,17393,47.9
55035,Eau Claire,Emergency Department Visits,2006,288,50.55,16394,44.74
55035,Eau Claire,Emergency Department Visits,2007,297,51.13,17891,48.31
55035,Eau Claire,Emergency Department Visits,2008,354,60.08,20578,55.03
55035,Eau Claire,Emergency Department Visits,2009,334,55.62,19761,52.37
55035,Eau Claire,Emergency Department Visits,2010,337,55.14,20144,52.96
55035,Eau Claire,Emergency Department Visits,2011,416,67.25,21217,55.46
55035,Eau Claire,Emergency Department Visits,2012,403,64.44,20725,53.9
55035,Eau Claire,Emergency Department Visits,2013,391,61.84,20150,52.13
55035,Eau Claire,Emergency Department Visits,2014,413,65.04,21484,55.3
55035,Eau Claire,Emergency Department Visits,2015,485,75.68,23367,59.88
55035,Eau Claire,Emergency Department Visits,2016,630,97.41,26449,67.4
55035,Eau Claire,Emergency Department Visits,2017,728,111.49,29448,74.49
55035,Eau Claire,Emergency Department Visits,2018,632,95.56,26936,67.65
55035,Eau Claire,Emergency Department Visits,2019,504,75.4,26987,67.31
55035,Eau Claire,Emergency Department Visits,2020,308,45.52,17203,42.44
55035,Eau Claire,Emergency Department Visits,2021,346,50.86,17867,43.95
55035,Eau Claire,Emergency Department Visits,2022,393,57.24,19464,47.69
55037,Florence,Emergency Department Visits,2002,1,2.72,16086,45.51
55037,Florence,Emergency Department Visits,2003,2,5.52,16118,45.23
55037,Florence,Emergency Department Visits,2004,2,5.54,15446,42.95
55037,Florence,Emergency Department Visits,2005,4,11.16,17393,47.9
55037,Florence,Emergency Department Visits,2006,0,0,16394,44.74
55037,Florence,Emergency Department Visits,2007,0,0,17891,48.31
55037,Florence,Emergency Department Visits,2008,0,0,20578,55.03
55037,Florence,Emergency Department Visits,2009,0,0,19761,52.37
55037,Florence,Emergency Department Visits,2010,1,2.95,20144,52.96
55037,Florence,Emergency Department Visits,2011,1,2.96,21217,55.46
55037,Florence,Emergency Department Visits,2012,0,0,20725,53.9
55037,Florence,Emergency Department Visits,2013,0,0,20150,52.13
55037,Florence,Emergency Department Visits,2014,1,2.93,21484,55.3
55037,Florence,Emergency Department Visits,2015,0,0,23367,59.88
55037,Florence,Emergency Department Visits,2016,0,0,26449,67.4
55037,Florence,Emergency Department Visits,2017,0,0,29448,74.49
55037,Florence,Emergency Department Visits,2018,1,2.91,26936,67.65
55037,Florence,Emergency Department Visits,2019,2,5.76,26987,67.31
55037,Florence,Emergency Department Visits,2020,0,0,17203,42.44
55037,Florence,Emergency Department Visits,2021,0,0,17867,43.95
55037,Florence,Emergency Department Visits,2022,1,2.62,19464,47.69
55039,Fond du Lac,Emergency Department Visits,2002,188,29.13,16086,45.51
55039,Fond du Lac,Emergency Department Visits,2003,198,30.45,16118,45.23
55039,Fond du Lac,Emergency Department Visits,2004,166,25.34,15446,42.95
55039,Fond du Lac,Emergency Department Visits,2005,171,25.88,17393,47.9
55039,Fond du Lac,Emergency Department Visits,2006,220,32.98,16394,44.74
55039,Fond du Lac,Emergency Department Visits,2007,322,47.69,17891,48.31
55039,Fond du Lac,Emergency Department Visits,2008,341,49.94,20578,55.03
55039,Fond du Lac,Emergency Department Visits,2009,393,57.06,19761,52.37
55039,Fond du Lac,Emergency Department Visits,2010,330,47.54,20144,52.96
55039,Fond du Lac,Emergency Department Visits,2011,329,47.08,21217,55.46
